present_name,to_name,is_candidate
A. Cooper,Anderson Cooper,n
Abby P,Abby Phillip,n
Abby Phillip,Abby Phillip,n
Abby Phillips,Abby Phillip,n
Adam Sexton,Adam Sexton,n
Amna,Amna Nawaz,n
Amna Nawaz,Amna Nawaz,n
Amy Klobachar,Amy Klobuchar,y
Amy Klobuchar,Amy Klobuchar,y
Amy Langenfeld,Amy Langenfeld,n
Amy Walter,Amy Walter,n
Anderson Cooper,Anderson Cooper,n
Andrea Mitchell,Andrea Mitchell,n
Andrew Yang,Andrew Yang,y
Announcer,Announcer,n
Ashley Parker,Ashley Parker,n
B. Pfannenstiel,Brianne Pfannenstiel,n
Bennett,Michael Bennet,y
Bernie Sanders,Bernie Sanders,y
Beto O’Rourke,Beto O’Rourke,y
Bill De Blasio,Bill De Blasio,y
Bill Whitaker,Bill Whitaker,n
Bill de Blasio,Bill De Blasio,y
Brianne P,Brianne Pfannenstiel,n
Brianne P.,Brianne Pfannenstiel,n
Chuck Todd,Chuck Todd,n
Cory Booker,Cory Booker,y
Crowd,,
Dana Bash,Dana Bash,n
David,David Muir,n
David Muir,David Muir,n
Devin Dwyer,Devin Dwyer,n
Diana,Dana Bash,n
Don Lemon,Don Lemon,n
Dr. Sanjay Gupta,Sanjay Gupta,n
E. Warren,Elizabeth Warren,y
Elizabeth W,Elizabeth Warren,y
Elizabeth W.,Elizabeth Warren,y
Elizabeth Warre,Elizabeth Warren,y
Elizabeth Warren,Elizabeth Warren,y
Eric Stalwell,Eric Swalwell,y
Eric Swalwell,Eric Swalwell,y
Erin Burnett,Erin Burnett,n
Female,,
Gayle King,Gayle King,n
George S,George Stephanopoulos,n
George S.,George Stephanopoulos,n
Gillibrand,Kirsten Gillibrand,y
Hallie Jackson,Hallie Jackson,n
Helen,Hallie Jackson,
Ilia Calderón,Ilia Calderón,n
J. Hickenlooper,John Hickenlooper,y
Jake Tapper,Jake Tapper,n
Jay Inslee,Jay Inslee,y
Joe Biden,Joe Biden,y
John Delaney,John Delaney,y
John H,John Hickenlooper,y
John H.,John Hickenlooper,y
John Hickenloop,John Hickenlooper,y
John King,John King,n
Jon Ralston,Jon Ralson,n
Jorge Ramos,Jorge Ramos,n
Jose,Jose Diaz-Balart,n
Jose D. B.,Jose Diaz-Balart,n
Jose D.B.,Jose Diaz-Balart,n
Judy,Judy Woodruff,n
Judy Woodruff,Judy Woodruff,n
Julian Castro,Julian Castro,y
Kamala Harris,Kamala Harris,y
Kirsten G.,Kirsten Gillibrand,y
Kristen Gillibr,Kirsten Gillibrand,y
Kristen Welker,Kristen Welker,n
Lester Holt,Lester Holt,n
Lindsey,Linsey Davis,n
Linsey Davis,Linsey Davis,n
M. Williamson,Marianne Williamson,y
Major Garrett,Major Garrett,n
Male,,
Marc Lacey,Marc Lacey,n
Margaret Brennan,Margaret Brennan,n
Marianne W.,Marianne Williamson,y
Marianne Willia,Marianne Williamson,y
Mayor Buttigieg,Pete Buttigieg,y
Mayor de Blasio,Bill De Blasio,y
Michael Bennet,Michael Bennet,y
Michael Bloomberg,Michael Bloomberg,y
Mike Bloomberg,Michael Bloomberg,y
Monica Hernandez,Monica Hernandez,n
Ms. Williamson,Marianne Williamson,y
N. Henderson,Nia-Malika Henderson,n
Norah O’Donnell,Norah O’Donnell,n
Pete Buttigieg,Pete Buttigieg,y
Rachel Maddow,Rachel Maddow,n
Rachel Scott,Rachel Scott,n
Savanagh G.,Savannah Guthrie,n
Savannah,Savannah Guthrie,n
Savannah G.,Savannah Guthrie,n
Sec. Castro,Julian Castro,y
Sen Klobuchar,Amy Klobuchar,y
Senator Bennet,Michael Bennet,y
Senator Booker,Cory Booker,y
Senator Warren,Elizabeth Warren,y
Stephanie Sy,Stephanie Sy,n
Steve Bullock,Steve Bullock,y
Steve Kornacki,Steve Kornacki,n
Tim Alberta,Tim Alberta,n
Tim Ryan,Tim Ryan,y
Tom Steyer,Tom Steyer,y
Tulsi Gabbard,Tulsi Gabbard,y
Vanessa Hauc,Vanessa Hauc,n
Voiceover,,
Wolf Blitzer,Wolf Blitzer,n
Yamiche,Yamiche Alcindor,n
Yamiche A.,Yamiche Alcindor,n
Yang,Andrew Yang,y
